nom,total,libres,occupation_pct,heure,jour_semaine,minute
Parc Relais Brandenburg,211,0,100.0,12,1,31
Bord'Eau Village,540,261,51.67,12,1,31
Clemenceau,379,211,44.33,12,1,31
Meunier - Saint Jean,323,117,63.78,12,1,31
P4 Belcier -  Gare Saint Jean,600,0,100.0,12,1,31
Grand Parc,341,109,68.04,12,1,31
Parc Relais Quarante Journaux,200,185,7.5,12,1,31
Parc Relais Cantinolle,620,535,13.71,12,1,31
Parc Relais De L'Hippodrome,250,63,74.8,12,1,31
Centre Commercant Ginko,930,809,13.01,12,1,31
Parc Relais La Gardette Nord,242,61,74.79,12,1,31
Parc Relais Gare De Begles,193,193,0.0,12,1,31
Begles Les Secheries,400,233,41.75,12,1,31
Parc Relais Gare De Blanquefort,206,3,98.54,12,1,31
Victor Hugo,634,258,59.31,12,1,31
Victoire,466,243,47.85,12,1,31
Tourny,950,268,71.79,12,1,31
Front Du Medoc,70,70,0.0,12,1,31
Centre Commercial Meriadeck,1230,741,39.76,12,1,31
Huit Mai 45,399,109,72.68,12,1,31
Gambetta,438,48,89.04,12,1,31
Capucins,270,0,100.0,12,1,31
Camille Jullian,338,196,42.01,12,1,31
Republique,361,118,67.31,12,1,31
Grands Hommes,415,157,62.17,12,1,31
Bourse - Jaures,1300,801,38.38,12,1,31
Salinieres,400,99,75.25,12,1,31
P3 Belcier - Gare Saint Jean,767,0,100.0,12,1,31
Parc Relais Ravezies Le Bouscat,366,45,87.7,12,1,31
Liberation,137,31,77.37,12,1,31
Laharpe,80,9,88.75,12,1,31
Parc Relais Gare De Bruges ,57,44,22.81,12,1,31
Parc Relais Floirac Dravemont,52,52,0.0,12,1,31
Floirac Arena,962,943,1.98,12,1,31
Parc Relais Le Haillan Rostand,204,134,34.31,12,1,31
Parc Relais La Gardette Sud,151,107,29.14,12,1,31
Parc Relais Lauriers,149,70,53.02,12,1,31
Parc Relais Buttiniere,600,0,100.0,12,1,31
Parc Relais Arlac,393,389,1.02,12,1,31
Parc Relais Quatre Chemins,396,218,44.95,12,1,31
Pessac Centre,400,242,39.5,12,1,31
Parc Relais Bougnard,168,168,0.0,12,1,31
Parc Relais Unitec,218,0,100.0,12,1,31
Parc Relais Gare De Pessac Alouette,148,105,29.05,12,1,31
Parc Relais Arts Et Metiers,590,593,0.0,12,1,31
Parc Relais Cap Metiers,146,131,10.27,12,1,31
Ars - Belcier,225,134,40.44,12,1,31
Parc Relais Les Pins,220,201,8.64,12,1,31
Parc Relais Villenave Pyrenees,399,164,58.9,12,1,31
Cite Mondiale,842,219,73.99,12,1,31
Gare Saint Jean,267,13,95.13,12,1,31
Porte De Bordeaux,344,91,73.55,12,1,31
Allees De Chartres,415,54,86.99,12,1,31
Parc Relais Stalingrad,120,6,95.0,12,1,31
Parc Relais Galin,279,3,98.92,12,1,31
Bergonie,69,42,39.13,12,1,31
Beaujon,92,20,78.26,12,1,31
Paludate - Saint Jean,566,125,77.92,12,1,31
Parc Relais Les Aubiers,234,232,0.85,12,1,31
Gare Saint Jean Arret Minute P2 Sud,105,75,28.57,12,1,31
Les Bassins,274,131,52.19,12,1,31
Pey Berland - Saint Christoly,399,98,75.44,12,1,31
Bassins A Flots,250,135,46.0,12,1,31
Brienne,300,173,42.33,12,1,31
Gare Saint Jean Arret Minute P1 Nord,46,46,0.0,12,1,31
Merignac Centre,285,200,29.82,12,1,31
P3 Belcier Arret Minute - Gare Saint Jean,103,9,91.26,12,1,31
Amedee St Germain,639,256,59.94,12,1,31
"Parc Relais Caroline Aigle, Merignac",103,103,0.0,12,1,31
Belvedere,400,348,13.0,12,1,31
Amplitude,396,150,62.12,12,1,31
Parc Relais Brandenburg,211,0,100.0,12,1,33
Bord'Eau Village,540,261,51.67,12,1,33
Clemenceau,379,211,44.33,12,1,33
Meunier - Saint Jean,323,117,63.78,12,1,33
P4 Belcier -  Gare Saint Jean,600,0,100.0,12,1,33
Grand Parc,341,109,68.04,12,1,33
Parc Relais Quarante Journaux,200,185,7.5,12,1,33
Parc Relais Cantinolle,620,535,13.71,12,1,33
Parc Relais De L'Hippodrome,250,63,74.8,12,1,33
Centre Commercant Ginko,930,809,13.01,12,1,33
Parc Relais La Gardette Nord,242,61,74.79,12,1,33
Parc Relais Gare De Begles,193,193,0.0,12,1,33
Begles Les Secheries,400,233,41.75,12,1,33
Parc Relais Gare De Blanquefort,206,3,98.54,12,1,33
Victor Hugo,634,258,59.31,12,1,33
Victoire,466,243,47.85,12,1,33
Tourny,950,268,71.79,12,1,33
Front Du Medoc,70,70,0.0,12,1,33
Centre Commercial Meriadeck,1230,741,39.76,12,1,33
Huit Mai 45,399,109,72.68,12,1,33
Gambetta,438,48,89.04,12,1,33
Capucins,270,0,100.0,12,1,33
Camille Jullian,338,196,42.01,12,1,33
Republique,361,118,67.31,12,1,33
Grands Hommes,415,157,62.17,12,1,33
Bourse - Jaures,1300,801,38.38,12,1,33
Salinieres,400,99,75.25,12,1,33
P3 Belcier - Gare Saint Jean,767,0,100.0,12,1,33
Parc Relais Ravezies Le Bouscat,366,45,87.7,12,1,33
Liberation,137,31,77.37,12,1,33
Laharpe,80,9,88.75,12,1,33
Parc Relais Gare De Bruges ,57,44,22.81,12,1,33
Parc Relais Floirac Dravemont,52,52,0.0,12,1,33
Floirac Arena,962,943,1.98,12,1,33
Parc Relais Le Haillan Rostand,204,134,34.31,12,1,33
Parc Relais La Gardette Sud,151,107,29.14,12,1,33
Parc Relais Lauriers,149,70,53.02,12,1,33
Parc Relais Buttiniere,600,0,100.0,12,1,33
Parc Relais Arlac,393,389,1.02,12,1,33
Parc Relais Quatre Chemins,396,218,44.95,12,1,33
Pessac Centre,400,242,39.5,12,1,33
Parc Relais Bougnard,168,168,0.0,12,1,33
Parc Relais Unitec,218,0,100.0,12,1,33
Parc Relais Gare De Pessac Alouette,148,105,29.05,12,1,33
Parc Relais Arts Et Metiers,590,593,0.0,12,1,33
Parc Relais Cap Metiers,146,131,10.27,12,1,33
Ars - Belcier,225,134,40.44,12,1,33
Parc Relais Les Pins,220,201,8.64,12,1,33
Parc Relais Villenave Pyrenees,399,164,58.9,12,1,33
Cite Mondiale,842,219,73.99,12,1,33
Gare Saint Jean,267,13,95.13,12,1,33
Porte De Bordeaux,344,91,73.55,12,1,33
Allees De Chartres,415,54,86.99,12,1,33
Parc Relais Stalingrad,120,6,95.0,12,1,33
Parc Relais Galin,279,3,98.92,12,1,33
Bergonie,69,42,39.13,12,1,33
Beaujon,92,20,78.26,12,1,33
Paludate - Saint Jean,566,125,77.92,12,1,33
Parc Relais Les Aubiers,234,232,0.85,12,1,33
Gare Saint Jean Arret Minute P2 Sud,105,75,28.57,12,1,33
Les Bassins,274,131,52.19,12,1,33
Pey Berland - Saint Christoly,399,98,75.44,12,1,33
Bassins A Flots,250,135,46.0,12,1,33
Brienne,300,173,42.33,12,1,33
Gare Saint Jean Arret Minute P1 Nord,46,46,0.0,12,1,33
Merignac Centre,285,200,29.82,12,1,33
P3 Belcier Arret Minute - Gare Saint Jean,103,9,91.26,12,1,33
Amedee St Germain,639,256,59.94,12,1,33
"Parc Relais Caroline Aigle, Merignac",103,103,0.0,12,1,33
Belvedere,400,348,13.0,12,1,33
Amplitude,396,150,62.12,12,1,33
Parc Relais Brandenburg,211,2,99.05,12,1,35
Bord'Eau Village,540,261,51.67,12,1,35
Clemenceau,379,211,44.33,12,1,35
Meunier - Saint Jean,323,116,64.09,12,1,35
P4 Belcier -  Gare Saint Jean,600,0,100.0,12,1,35
Grand Parc,341,112,67.16,12,1,35
Parc Relais Quarante Journaux,200,185,7.5,12,1,35
Parc Relais Cantinolle,620,534,13.87,12,1,35
Parc Relais De L'Hippodrome,250,63,74.8,12,1,35
Centre Commercant Ginko,930,808,13.12,12,1,35
Parc Relais La Gardette Nord,242,61,74.79,12,1,35
Parc Relais Gare De Begles,193,193,0.0,12,1,35
Begles Les Secheries,300,294,2.0,12,1,35
Parc Relais Gare De Blanquefort,206,3,98.54,12,1,35
Victor Hugo,634,256,59.62,12,1,35
Victoire,466,244,47.64,12,1,35
Tourny,950,266,72.0,12,1,35
Front Du Medoc,70,70,0.0,12,1,35
Centre Commercial Meriadeck,1230,744,39.51,12,1,35
